"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/MPTopdownKit/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","170","13","2","75.421448","0","1131"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","1.380930","0","4"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.327663","0","4"
"/Game/MPTopdownKit/Animations/Character/Ganfaul_Body.Ganfaul_Body","0","24","4","1","12.999340","0","62"
"/Game/MPTopdownKit/Effects/Materials/M_Fire_Torch.M_Fire_Torch","0","24","10","1","11.432134","0","66"
"/Game/MPTopdownKit/Effects/Materials/M_Heat_Smoke.M_Heat_Smoke","0","84","1","1","56.129299","0","522"
"/Game/MPTopdownKit/Effects/Materials/M_Ash.M_Ash","0","24","6","1","11.207594","0","64"
"/Game/MPTopdownKit/Items/Miscellaneous/Materials/M_NULL.M_NULL","0","12","12","1","7.088693","0","16"
"/Game/MPTopdownKit/Items/Weapons/Materials/M_Master_Grunt_Weapon.M_Master_Grunt_Weapon","0","33","1","1","18.695322","0","121"
"/Game/MPTopdownKit/Items/Weapons/Materials/M_Weapon_Bone_Blades.M_Weapon_Bone_Blades","0","33","4","1","18.242805","0","102"
"/Game/MPTopdownKit/Items/Weapons/Materials/M_Weapon_Rifle_Assault.M_Weapon_Rifle_Assault","0","24","10","1","13.250896","0","66"
"/Game/MPTopdownKit/Environment/Materials/M_Wood_Planks.M_Wood_Planks","0","33","10","1","18.721601","0","129"
"/Game/MPTopdownKit/Environment/Materials/M_Skeleton.M_Skeleton","0","21","2","1","13.028700","0","54"
"/Game/MPTopdownKit/Items/Miscellaneous/Materials/M_Currency_Gold_Coin.M_Currency_Gold_Coin","0","12","12","1","7.172304","0","16"
"/Game/MPTopdownKit/Items/Equipment/Materials/M_Armor_Troll_Leather.M_Armor_Troll_Leather","0","24","10","1","13.077315","0","64"
"/Game/MPTopdownKit/Items/Equipment/Materials/M_Equip_Bone_Amulet.M_Equip_Bone_Amulet","0","33","1","1","18.388391","0","129"
"/Game/MPTopdownKit/Items/Equipment/Materials/M_Armor_Leather.M_Armor_Leather","0","33","10","1","19.979082","0","103"
"/Game/MPTopdownKit/Items/Equipment/Materials/M_Armor_Cardboard.M_Armor_Cardboard","0","24","10","1","12.775471","0","64"
"/Game/MPTopdownKit/Items/Consumables/Materials/M_Food_Hambone.M_Food_Hambone","0","24","2","1","13.028118","0","82"
"/Game/MPTopdownKit/Items/Consumables/Materials/M_Food_Baguette.M_Food_Baguette","0","24","6","1","13.547092","0","62"
"/Game/MPTopdownKit/Items/Consumables/Materials/M_Food_Apple_Poinsoned.M_Food_Apple_Poinsoned","0","12","12","1","7.115215","0","20"
"/Game/MPTopdownKit/Items/Consumables/Materials/M_Food_Apple.M_Food_Apple","0","12","12","1","6.959274","0","22"
"/Game/MPTopdownKit/Environment/Materials/M_Fern.M_Fern","0","47","10","1","25.802845","0","188"
"/Game/MPTopdownKit/Effects/Materials/M_Smoke_SubUV.M_Smoke_SubUV","0","24","4","1","11.830514","0","99"
"/Game/MPTopdownKit/Effects/Materials/M_explosion_SubUV.M_explosion_SubUV","0","24","5","1","11.022346","0","63"
"/Game/MPTopdownKit/Effects/Materials/M_Burst.M_Burst","0","30","5","1","12.946217","0","100"
"/Game/MPTopdownKit/Effects/Materials/Masters/M_Trans_Sprite_SubUV_Master.M_Trans_Sprite_SubUV_Master","0","32","10","1","14.876900","0","98"
"/Game/MPTopdownKit/Effects/Materials/Masters/M_Trans_Sprite_SubUV_Master_DepthFade.M_Trans_Sprite_SubUV_Master_DepthFade","0","24","8","1","11.458330","0","62"
"/Game/MPTopdownKit/Effects/Materials/M_Particle_Effect_Ring.M_Particle_Effect_Ring","0","32","10","1","14.400467","0","110"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","10","1","6.079368","0","68"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","3.543243","0","8"
"/Game/MPTopdownKit/Effects/Materials/M_Fog.M_Fog","0","84","7","1","57.232643","0","557"
"/Game/MPTopdownKit/Environment/Materials/M_Wall_01.M_Wall_01","0","21","10","1","13.983903","0","61"
"/Game/MPTopdownKit/Environment/Materials/M_Floor_01.M_Floor_01","0","21","10","1","13.163929","0","62"
"/Game/MPTopdownKit/Environment/Materials/M_Floor_02.M_Floor_02","0","21","10","1","13.253883","0","62"
"/Game/MPTopdownKit/Environment/Materials/M_WoodenBarrel_01.M_WoodenBarrel_01","0","21","10","1","13.449122","0","54"
"/Game/MPTopdownKit/Environment/Materials/M_Crate.M_Crate","0","21","3","1","13.103790","0","55"
"/Game/MPTopdownKit/Environment/Materials/M_Pot.M_Pot","0","21","6","1","12.812714","0","56"
"/Game/MPTopdownKit/Animations/Enemy/Animation/WorldWar_zombie_material.WorldWar_zombie_material","0","24","10","1","13.366387","0","68"
"/Game/MPTopdownKit/Materials/PP_OutlineCustomDepth.PP_OutlineCustomDepth","0","4","4","1","1.617922","0","6"
"/Game/MPTopdownKit/Materials/M_Unlit.M_Unlit","0","2","2","1","0.979425","0","2"
"/Game/MPTopdownKit/Materials/M_Thumbnail_Background.M_Thumbnail_Background","0","21","10","1","13.262228","0","62"
"/Game/MPTopdownKit/Environment/Materials/M_Wall.M_Wall","0","21","5","1","12.295910","0","53"
"/Game/MPTopdownKit/Environment/Materials/M_Wood_Parts.M_Wood_Parts","0","21","7","1","13.246296","0","53"
"/Game/MPTopdownKit/Character/Materials/M_Zombie.M_Zombie","0","33","10","1","17.577497","0","109"
"/Game/MPTopdownKit/Animations/Enemy/WorldWar_zombie_material.WorldWar_zombie_material","0","24","6","1","0.000000","0","97"
